4	45.43	23.2	24.21	23.2
11	32.32	38.346	27.222	32.32
34.2	2.23	26.2	20.87666667	26.2
48.5	34.124	50.53	44.38466667	48.5
43	12.2	5.1	20.1	12.2
14.155	42.2	23.35	26.56833333	23.35
23	12.21	35	23.40333333	23
23.456	43.21	3.21	23.292	23.456
12	1.46	11.35	8.27	11.35
42.34	42.96	5.34	30.21333333	42.34
12	35.567	13.77	20.44566667	13.77
22.5	43.537	5.2	23.74566667	22.5
24	23.323	13.1	20.141	23.323
45.32511	13.236	4.8	21.12037	13.236
43	3.247	12.256	19.501	12.256
23.34	24.4	12.2523	19.99743333	23.34
39	9.444	28.24	25.56133333	28.24
12	4.8	29.2223	15.34076667	12
23.55	1	26.25	16.93333333	23.55
5	32.346	25.2	20.84866667	25.2
12	7.23	36.2351	18.48836667	12
34.434	11.5	38.252	28.062	34.434
22	22.211	30.7	24.97033333	22.211
50	23.32	13.47	28.93	23.32
1.0002	0	2.2	1.066733333	1.0002
