4	45.43	23.2	24.21
11	32.32	38.346	27.222
34.2	2.23	26.2	20.87666667
48.5	34.124	50.53	44.38466667
43	12.2	5.1	20.1
14.155	42.2	23.35	26.56833333
23	12.21	35	23.40333333
23.456	43.21	3.21	23.292
12	1.46	11.35	8.27
42.34	42.96	5.34	30.21333333
12	35.567	13.77	20.44566667
22.5	43.537	5.2	23.74566667
24	23.323	13.1	20.141
45.32511	13.236	4.8	21.12037
43	3.247	12.256	19.501
23.34	24.4	12.2523	19.99743333
39	9.444	28.24	25.56133333
12	4.8	29.2223	15.34076667
23.55	1	26.25	16.93333333
5	32.346	25.2	20.84866667
12	7.23	36.2351	18.48836667
34.434	11.5	38.252	28.062
22	22.211	30.7	24.97033333
50	23.32	13.47	28.93
1.0002	0	2.2	1.066733333
