4	45.43	23.2	23.2
11	32.32	38.346	32.32
34.2	2.23	26.2	26.2
48.5	34.124	50.53	48.5
43	12.2	5.1	12.2
14.155	42.2	23.35	23.35
23	12.21	35	23
23.456	43.21	3.21	23.456
12	1.46	11.35	11.35
42.34	42.96	5.34	42.34
12	35.567	13.77	13.77
22.5	43.537	5.2	22.5
24	23.323	13.1	23.323
45.32511	13.236	4.8	13.236
43	3.247	12.256	12.256
23.34	24.4	12.2523	23.34
39	9.444	28.24	28.24
12	4.8	29.2223	12
23.55	1	26.25	23.55
5	32.346	25.2	25.2
12	7.23	36.2351	12
34.434	11.5	38.252	34.434
22	22.211	30.7	22.211
50	23.32	13.47	23.32
1.0002	0	2.2	1.0002
